ISIN;nom;ticker
AN8068571086;SCHLUMBERGER LTD;SLB
BMG3223R1088;EVEREST RE GROUP LTD;RE
BMG475671050;IHS MARKIT LTD;INFO
BMG491BT1088;INVESCO LTD;IVZ
BMG667211046;NORWEGIAN CRUISE;NCLH
BMG812761002;Signet Jewelers;SIG
CH0102993182;TE CONNECTIVITY LTD;TEL
CH0114405324;GARMIN LTD;GRMN
IE00B4BNMY34;ACCENTURE PLC;ACN
IE00B58JVZ52;SEAGATE TECHNOLOGY;STX
IE00B5LRLL25;XL GROUP PLC;XL
IE00B6330302;INGERSOLL-RAND PLC;IR
IE00BDB6Q211;WILLIS TOWERS;WLTW
IE00BFRT3W74;ALLEGION PLC;ALLE
JE00B783TY65;APTIV;APTV
LR0008862868;ROYAL CRUISE LTD;RCL
NL0009434992;LYONDELLBASELL INDU;LYB
NL0009538479;NIELSEN HOLDINGS;NLSN
PA1436583006;CARNIVAL CORP;CCL
SG9999006241;BROADCOM INC;AVGO
US0000895930;ENVISION HEALTHCARE;EVHC
US0010551028;AFLAC INC;AFL
US00130H1059;AES CORP;AES
US00206R1023;AT&T;T
US0028241000;ABBOTT LABORATORIES;ABT
US00287Y1091;ABBVIE;ABBV
US00507V1098;ACTIVISION BLIZZARD;ATVI
US00508Y1029;ACUITY BRANDS;AYI
US00724F1012;Adobe Systems Incorporate;ADBE
US00751Y1064;ADVANCE AUTO PARTS;AAP
US0079031078;ADVANCED MICRO DEVI;AMD
US00817Y1082;AETNA INC;AET
US0082521081;AFFILIATED MANAGERS;AMG
US00846U1016;AGILENT TECHNOLOGIE;A
US0091581068;AIR PRODUCTS & CHEM;APD
US00971T1016;Akamai Tech;AKAM
US0116591092;ALASKA AIR GROUP;ALK
US0126531013;ALBERMARLE CORP;ALB
US0152711091;ALEXANDRIA REAL EST;ARE
US0153511094;ALEXION PHARMACEUTI;ALXN
US0162551016;ALIGN TECHNOLOGY;ALGN
US0184901025;ALLERGAN INC;AGN
US0185811082;ALLIANCE DATA SYSTE;ADS
US0188021085;ALLIANT ENERGY;LNT
US0200021014;ALLSTATE CORP;ALL
US02079K1079;Alphabet C;GOOG
US02079K3059;Alphabet A;GOOGL
US02209S1033;ALTRIA GROUP INC;MO
US0231351067;Amazon.Com, Inc.;AMZN
US0236081024;AMEREN CORP;AEE
US02376R1023;American Airlines;AAL
US0255371017;AMERICAN ELECTRIC P;AEP
US0258161092;American Express Company;AXP
US0268747849;AMERICAN INTL GROUP;AIG
US0299122012;AMERICAN TOWER CORP;AMT
US0304201033;AMERICAN WATER WORK;AWK
US03073E1055;AMERISOURCEBERGEN C;ABC
US03076C1062;AMERIPRISE FINANCIA;AMP
US0311001004;AMETEK INC;AME
US0311621009;Amgen, Inc.;AMGN
US0320951017;AMPHENOL CORP A;APH
US0325111070;ANADARKO PETROLEUM ;APC
US0326541051;ANALOG DEVICES INC;ADI
US03349M1053;ANDEAVOR;ANDV
US03662Q1058;ANSYS INC;ANSS
US0367521038;ANTHEM;ANTM
US0373891037;AON CORP;AON
US0374111054;APACHE CORP;APA
US03748R1014;APARTMENT INVESTMEN;AIV
US0378331005;Apple Inc.;AAPL
US0382221051;Applied Materials, Inc.;AMAT
US0394831020;ARCHER-DANIELS-MIDL;ADM
US03965L3087;ARCONIC INC;ARNC
US04621X1081;ASSURANT INC;AIZ
US0527691069;Autodesk;ADSK
US0530151036;AUTOMATIC DATA PROC;ADP
US0533321024;AUTOZONE INC;AZO
US0534841012;AVALONBAY COMMUNITI;AVB
US0536111091;AVERY DENNISON CORP;AVY
US0549371070;BB&T CORP;BBT
US05722G1004;BAKER HUGHES;BHGE
US0584981064;BALL CORP;BLL
US0605051046;Bank of America;BAC
US0640581007;THE BANK OF NEW YOR;BK
US0718131099;BAXTER INTL INC;BAX
US0758871091;BECTON;BDX
US0846707026;BERKSHIRE HATHAWAY ;BRK.B
US0865161014;BEST BUY CO INC;BBY
US09062X1037;Biogen Idec;BIIB
US09247X1019;BLACKROCK;BLK
US0936711052;BLOCK H & R INC;HRB
US0970231058;Boeing;BA
US0997241064;BORG WARNER INC;BWA
US1011211018;BOSTON PROPERTIES I;BXP
US1011371077;BOSTON SCIENTIFIC C;BSX
US10922N1037;BRIGHTHOUSE FINANCIAL;BHF
US1101221083;BRISTOL-MYERS SQUIB;BMY
US1156372096;BROWN-FORMAN CORP B;BF.B
US1248572026;CBS CORP B;CBS
US12497T1016;CB RICHARD ELLIS GR;CBG
US12503M1080;CBOE HOLDINGS;CBOE
US1252691001;CF INDUSTRIES HOLDI;CF
US12541W2098;CH ROBINSON WORLDWI;CHRW
US1255091092;CIGNA CORP;CI
US12572Q1058;CHICAGO MERCANTILE ;CME
US1258961002;CMS ENERGY CORP;CMS
US1264081035;CSX CORP;CSX
US12650T1043;CSRA;CSRA
US1266501006;CVS CAREMARK CORP.;CVS
US12673P1057;CA Inc;CA
US1270971039;CABOT OIL & GAS A;COG
US1273871087;CADENCE DESIGN SYST;CDNS
US1344291091;CAMPBELL SOUP CO;CPB
US14040H1059;CAPITAL ONE FINANCI;COF
US14149Y1082;CARDINAL HEALTH INC;CAH
US1431301027;CARMAX INC;KMX
US1491231015;Caterpillar Inc.;CAT
US1510201049;Celgene;CELG
US15135B1017;CENTENE;CNC
US15189T1079;CENTERPOINT ENERGY ;CNP
US1567001060;CENTURYLINK INC;CTL
US1567821046;CERNER CORP;CERN
US16117M3051;CHARTER COMMUNICATI;CHTR
US1651671075;CHESAPEAKE ENERGY C;CHK
US1667641005;Chevron Corp.;CVX
US1696561059;CHIPOTLE MEXICAN GR;CMG
US1712321017;CHUBB CORP;CB
US1713401024;CHURCH & DWIGHT;CHD
US1717981013;CIMAREX ENERGY CO.;XEC
US1720621010;CINCINNATI FINANCIA;CINF
US17275R1023;Cisco Systems, Inc.;CSCO
US1729081059;Cintas Corporation;CTAS
US1729671016;CITIGROUP INC;C
US1746101054;CITIZENS FINANCIAL;CFG
US1773761002;Citrix Systems, Inc.;CTXS
US1890541097;CLOROX CO;CLX
US1912161007;The Coca-Cola Company;KO
US1924461023;Cognizant tech.;CTSH
US1941621039;COLGATE-PALMOLIVE C;CL
US20030N1019;Comcast Corporation;CMCSA
US2003401070;COMERICA INC (MI);CMA
US2058871029;CONAGRA FOODS INC;CAG
US20605P1012;CONCHO RESOURCES;CXO
US20825C1045;CONOCOPHILLIPS;COP
US2091151041;CONSOLIDATED EDISON;ED
US21036P1084;CONSTELLATION BRAND;STZ
US2166484020;COOPER COMPANIES;COO
US2193501051;CORNING INC;GLW
US22160K1051;Costco Wholesale Corp.;COST
US2220702037;COTY;COTY
US2282271046;CROWN CASTLE INTERN;CCI
US2310211063;CUMMINS INC;CMI
US23331A1097;HORTON;DHI
US2333311072;DTE ENERGY CO;DTE
US23355L1061;DXC TECHNOLOGY;DXC
US2358511028;DANAHER CORP;DHR
US2371941053;DARDEN RESTAURANTS ;DRI
US23918K1088;DAVITA INC;DVA
US2441991054;DEERE & CO;DE
US2473617023;Delta Airlines;DAL
US2490301072;Dentsply International In;XRAY
US25179M1036;DEVON ENERGY CORP;DVN
US2538681030;DIGITAL REALTY TRUST;DLR
US2546871060;Walt Disney Company;DIS
US2547091080;DISCOVER FINANCIAL ;DFS
US25470F1049;DISCOVERY COMMUNICA;DISCA
US25470F3029;DISCOVERY COMMUNICA;DISCK
US25470M1099;DISH NETWORK CORP;DISH
US2566771059;DOLLAR GENERAL CORP;DG
US2567461080;DOLLAR TREE INC;DLTR
US25746U1097;DOMINION RESOURCES ;D
US2600031080;DOVER CORP;DOV
US26078J1007;DOWDUPONT;DWDP
US26138E1091;DR PEPPER SNAPPLE G;DPS
US2644115055;DUKE REALTY;DRE
US26441C1053;DUKE ENERGY CORP;DUK
US26875P1012;EOG RESOURCES;EOG
US26884L1098;EQT CORPORATION;EQT
US2692464017;E*TRADE FINANCIAL C;ETFC
US2774321002;EASTMAN CHEMICAL CO;EMN
US2780581029;EATON CORP;ETN
US2786421030;Ebay Inc.;EBAY
US2788651006;ECOLAB INC;ECL
US2810201077;EDISON INTL;EIX
US28176E1082;EDWARDS LIFESCIENCE;EW
US2855121099;Electronic Arts;EA
US2910111044;EMERSON ELECTRIC CO;EMR
US29364G1031;ENTERGY CORP;ETR
US2944291051;EQUIFAX INC;EFX
US29444U5020;EQUINIX INC.;EQIX
US29476L1070;EQUITY RESIDENTIAL;EQR
US2971781057;ESSEX PROPERTY;ESS
US30040W1080;EVERSOURCE ENERGY;ES
US30161N1019;EXELON CORP;EXC
US30212P1057;Expedia Inc;EXPE
US3021301094;Expeditors Int'l Of Wa;EXPD
US3021821000;Express Scripts, Inc.;ESRX
US30225T1025;EXTRA SPACE STORAGE;EXR
US30231G1022;Exxon Mobil Corporation;XOM
US3024451011;FLIR SYSTEMS INC;FLIR
US3024913036;FMC CORP;FMC
US30249U1016;FMC TECHNOLOGIES IN;FTI
US30303M1027;Facebook;FB
US3119001044;Fastenal Company;FAST
US3137472060;FEDERAL REALTY INV;FRT
US31428X1063;FEDEX CORP;FDX
US3156161024;F5 NETWORKS INC;FFIV
US31620M1062;FIDELITY NATIONAL I;FIS
US3167731005;FIFTH THIRD BANCORP;FITB
US3377381088;Fiserv, Inc.;FISV
US3379321074;FIRSTENERGY CORP;FE
US3434121022;FLUOR CORP;FLR
US34354P1057;FLOWSERVE CORP;FLS
US3448491049;FOOT LOCKER;FL
US3453708600;FORD MOTOR CO;F
US34959J1088;FORTIVE CORP;FTV
US34964C1062;FORTUNE BRANDS;FBHS
US3546131018;FRANKLIN RESOURCES ;BEN
US35671D8570;FREEPORT MCMORAN CO;FCX
US3635761097;ARTHUR J. GALLAGHER;AJG
US3647601083;GAP INC;GPS
US3666511072;GARTNER;IT
US3695501086;GENERAL DYNAMICS;GD
US3696041033;General Electric Company;GE
US3700231034;GENERAL GROWTH REIT;GGP
US3703341046;GENERAL MILLS INC;GIS
US37045V1008;GENERAL MOTORS;GM
US3724601055;GENUINE PARTS CO;GPC
US3755581036;Gilead Sciences, Inc.;GILD
US37940X1028;GLOBAL PAYMENTS;GPN
US38141G1040;GOLDMAN SACHS GROUP;GS
US3825501014;GOODYEAR TIRE & RUB;GT
US3848021040;GRAINGER;GWW
US40412C1018;HCA HOLDING;HCA
US40414L1098;HCP INC;HCP
US4062161017;HALLIBURTON CO;HAL
US4103451021;Hanesbrands Inc.;HBI
US4128221086;HARLEY-DAVIDSON INC;HOG
US4138751056;HARRIS CORP;HRS
US4165151048;HARTFORD FINL SERVI;HIG
US4180561072;HASBRO INC;HAS
US4234521015;HELMERICH & PAYNE I;HP
US4278661081;HERSHEY FOODS CORP;HSY
US42809H1077;HESS CORP;HES
US42824C1099;HP ENTERPRISE;HPE
US43300A2033;HILTON WORLDWIDE;HLT
US4364401012;HOLOGIC;HOLX
US4370761029;Home Depot;HD
US4385161066;HONEYWELL INTL INC;HON
US4404521001;HORMEL FOODS CORP;HRL
US44107P1049;HOST HOTELS & RESOR;HST
US4448591028;HUMANA INC;HUM
US4456581077;J.B. HUNT TRANSPORT;JBHT
US4461501045;HUNTINGTON BANCSHAR;HBAN
US4464131063;Huntington ingalls;HII
US45168D1046;IDEXX LABORATORIES;IDXX
US4523081093;ILLINOIS TOOL WORKS;ITW
US4523271090;ILLUMINA INC.;ILMN
US45337C1027;INCYTE CORP;INCY
US4581401001;Intel Corporation;INTC
US45865V1008;INTERCONTINENTALEXC;ICE
US4592001014;IBM;IBM
US4595061015;INTL FLAVORS & FRAG;IFF
US4601461035;INTL PAPER CO;IP
US4606901001;INTERPUBLIC GROUP C;IPG
US4612021034;Intuit Inc.;INTU
US46120E6023;Intuitive surg.;ISRG
US46266C1053;IQVIA HOLDINGS;IQV
US4628461067;IRON MOUNTAIN INC;IRM
US46625H1005;JPMorgan Chase Co.;JPM
US4698141078;JACOBS ENGINEERING;J
US4781601046;Johnson et Johnson;JNJ
US4783661071;JOHNSON CONTROLS IN;JCI
US48203R1041;Juniper Networks, Inc.;JNPR
US4824801009;Kla-Tencor Corporation;KLAC
US4851703029;KANSAS CITY SOUTHER;KSU
US4878361082;KELLOGG CO;K
US4932671088;KEYCORP;KEY
US4943681035;KIMBERLY-CLARK;KMB
US49446R1095;KIMCO REALTY CORP;KIM
US49456B1017;KINDER MORGAN INC;KMI
US5002551043;KOHL'S CORP;KSS
US5007541064;KRAFT HEINZ;KHC
US5010441013;KROGER CO;KR
US5017971046;LIMITED BRANDS INC;LB
US5018892084;LKQ CORP;LKQ
US5024241045;L-3 COMMUNICATIONS ;LLL
US50540R4092;LAB CORP OF AMERICA;LH
US5128071082;Lam Research;LRCX
US5184391044;ESTEE LAUDER COS.;EL
US5246601075;LEGGETT & PLATT;LEG
US5260571048;LENNAR CORP;LEN
US5272881047;LEUCADIA NATIONAL C;LUK
US5324571083;ELI LILLY;LLY
US5341871094;LINCOLN NATIONAL CO;LNC
US5398301094;LOCKHEED MARTIN;LMT
US5404241086;LOEWS CORP;L
US5486611073;LOWE'S COS INC;LOW
US55261F1049;M&T BANK CORP;MTB
US5529531015;MGM RESORTS;MGM
US5543821012;MACERICH CO.;MAC
US55616P1049;MACY'S INC;M
US5658491064;MARATHON OIL CORP;MRO
US56585A1025;MARATHON PETROLEUM ;MPC
US5717481023;MARSH & MCLENNAN CO;MMC
US5719032022;MARRIOTT INTL A;MAR
US5732841060;MARTIN MARIETTA MAT;MLM
US5745991068;MASCO CORP;MAS
US57636Q1040;MASTERCARD INC A;MA
US5770811025;MATTEL INC;MAT
US5797802064;MCCORMICK & CO;MKC
US5801351017;Mcdonald's Corporation;MCD
US58155Q1031;MCKESSON CORP;MCK
US5850551061;MEDTRONIC INC;MDT
US58933Y1055;Merck Co;MRK
US59156R1086;METLIFE INC;MET
US5926881054;METTLER-TOLEDO;MTD
US5949181045;Microsoft Corporation;MSFT
US5950171042;Microchip Technology Inc.;MCHP
US5951121038;MICRON TECHNOLOGY I;MU
US59522J1034;MID AMERICA APPART;MAA
US6081901042;MOHAWK INDUSTRIES;MHK
US60871R2094;MOLSON COORS BREWIN;TAP
US6092071058;MONDELEZ;MDLZ
US61166W1018;MONSANTO CO.;MON
US6117401017;MONSTER BEVERAGE;MNST
US6153691059;MOODY'S CORP;MCO
US6174464486;MORGAN STANLEY;MS
US61945A1079;MOSAIC CO (THE);MOS
US6200763075;MOTOROLA SOLUTIONS;MSI
US6285301072;MYLAN INC.;MYL
US6293775085;NRG ENERGY;NRG
US6311031081;NASDAQ OMX GROUP/TH;NDAQ
US6370711011;NATIONAL OILWELL VA;NOV
US63938C1080;NAVIENT CORP.;NAVI
US64110D1046;NETAPP INC;NTAP
US64110L1061;NETFLIX INC;NFLX
US6512291062;NEWELL RUBBERMAID I;NWL
US6512901082;NEWFIELD EXPLORATIO;NFX
US6516391066;NEWMONT MINING CORP;NEM
US65248E1047;NEWS CORPORATION;NWSA
US65249B2088;NEWS CORPORATION B;NWS
US65339F1012;NEXTERA ENERGY INC;NEE
US6541061031;NIKE INC B;NKE
US65473P1057;NISOURCE INC;NI
US6550441058;NOBLE ENERGY INC;NBL
US6556641008;NORDSTROM INC;JWN
US6558441084;NORFOLK SOUTHERN CO;NSC
US6658591044;NORTHERN TRUST CORP;NTRS
US6668071029;NORTHROP GRUMMAN CO;NOC
US6703461052;NUCOR CORP;NUE
US67066G1040;Nvidia Corporation;NVDA
US67103H1077;O'REILLY AUTOMOTIVE;ORLY
US6745991058;OCCIDENTAL PETROLEU;OXY
US6819191064;OMNICOM GROUP;OMC
US6826801036;ONEOK INC;OKE
US68389X1054;Oracle Corporation;ORCL
US69331C1080;PG&E CORPORATION;PCG
US6934751057;PNC FINL SERVICES G;PNC
US6935061076;PPG INDUSTRIES INC;PPG
US69351T1060;PPL CORP;PPL
US6936561009;PVH;PVH
US6937181088;Paccar Inc.;PCAR
US6951561090;PACKAGING CORP;PKG
US7010941042;PARKER-HANNIFIN COR;PH
US7033951036;PATTERSON COS INC;PDCO
US7043261079;Paychex, Inc.;PAYX
US70450Y1038;PAYPAL;PYPL
US7096311052;PENTAIR INC;PNR
US7127041058;PEOPLE'S UNITED FIN;PBCT
US7134481081;PEPSICO INC;PEP
US7140461093;PERKINELMER INC;PKI
US7142901039;PERRIGO COMPANY;PRGO
US7170811035;Pfizer;PFE
US7181721090;PHILIP MORRIS INTER;PM
US7185461040;PHILLIPS 66;PSX
US7234841010;PINNACLE WEST CAPIT;PNW
US7237871071;PIONEER NATURAL RES;PXD
US7315721032;POLO RALPH LAUREN A;RL
US74005P1049;PRAXAIR INC;PX
US74144T1088;T ROWE PRICE GROUP ;TROW
US7415034039;Booking Holdings Inc;BKNG
US74251V1026;PRINCIPAL FINANCIAL;PFG
US7427181091;The Procter Gamble Co.;PG
US7433151039;PROGRESSIVE CORP;PGR
US7434101025;PROLOGIS;PLD
US7443201022;PRUDENTIAL FINANCIA;PRU
US7445731067;PUBLIC SERVICE ENTE;PEG
US74460D1090;PUBLIC STORAGE;PSA
US7458671010;PULTE GROUP INC;PHM
US74736K1016;QORVO INC;QRVO
US7475251036;Qualcomm, Inc.;QCOM
US74762E1029;QUANTA SERVICES INC;PWR
US74834L1008;QUEST DIAGNOSTICS;DGX
US75281A1097;RANGE RESOURCES COR;RRC
US7547301090;RAYMOND JAMES FINANCIAL;RJF
US7551115071;RAYTHEON CO;RTN
US7561091049;REALTY INCOME CORP;O
US7565771026;RED HAT INC;RHT
US7588491032;REGENCY CENTERS;REG
US75886F1075;REGENERON PHARMACEU;REGN
US7591EP1005;REGIONS FINANCIAL C;RF
US7607591002;REPUBLIC SERVICES I;RSG
US7611521078;RESMED INC;RMD
US7703231032;ROBERT HALF INTL IN;RHI
US7739031091;ROCKWELL AUTOMATION;ROK
US7743411016;ROCKWELL COLLINS;COL
US7766961061;ROPER INDUSTRIES IN;ROP
US7782961038;ROSS STORES INC;ROST
US78388J1060;SBA COMMUNICATIONS;SBAC
US78409V1044;S&P GLOBAL;SPGI
US78440X1019;SL Green Realty Cor;SLG
US79466L3024;SALESFORCE.COM;CRM
US80589M1027;SCANA CORP;SCG
US8064071025;Henry Schein, Inc.;HSIC
US8085131055;SCHWAB;SCHW
US81211K1007;SEALED AIR CORP;SEE
US8168511090;SEMPRA ENERGY;SRE
US8243481061;SHERWIN-WILLIAMS CO;SHW
US8288061091;SIMON PROPERTY GROU;SPG
